$OR;D2 
* From-Time  To-Time 
06.00 7.00 
* Factor 
1.00
9162019 52814612 15
9162158 9162126 2
9162065 9162024 1
9162107 9162062 3
9162058 9162042 5
9162043 9162042 6
9162009 9162059 11
9162010 9162107 16
9162040 9162119 14
9162110 9162019 10
9162026 554321029 15
9162022 9162016 13
9162081 9162038 2
9162004 9162042 5
9162009 9162022 5
9162066 9162103 8
784358748 9162102 30
9162019 9162010 22
9162021 9162158 12
9162099 9162103 15
9162040 9162103 10
9162022 9162004 6
9162035 9162119 23
9162119 9184018 27
9162113 9184018 7
9162077 9162115 17
9162032 9162064 2
9162012 9162055 9
9162079 9162012 0
9162025 9162115 10
9162030 9162071 13
9162028 774028738 16
9162102 9162001 4
9162001 9162042 3
9162021 9162071 1
9162042 819400248 10
9162021 9162110 4
9162065 9184018 2
9162035 586888382 19
9162062 9162077 14
9162158 9162071 9
9162056 9162099 5
9162001 9162007 9
9162026 9162077 12
9162037 9162113 6
9162093 9162042 0
9162159 586888382 8
9162024 586900421 20
9162022 9162024 16
9162010 9162064 5
9162064 586888382 9
9162071 586888382 3
9162042 9162009 14
9162119 9162037 27
9162115 9162038 5
9162119 586888382 0
9162019 9162059 4
9162158 9162115 0
9162119 9162064 3
9162058 9162119 99
9162071 783176672 0
9162016 9162068 5
9162107 9162158 20
9162040 9184003 10
9162056 784358748 22
9162119 9162028 13
9162030 9162066 10
9162103 9162034 1
9162103 9162021 20
586888382 9162099 18
52814612 9162056 16
9162030 9162035 10
554321029 586900421 30
774028738 9162027 7
52814612 9162115 10
52814612 9162062 11
774028738 9162022 18
774028738 783176708 47
52814612 9162043 24
774028738 819400248 2
52814612 9162085 49
586888382 9162021 20
586888382 9184018 13
586888382 9162077 4
819400248 9162058 6
783176672 9162079 3
783176672 784358748 39
819400248 9162055 3
783176672 9162038 15
783095006 9184024 0
774028738 9162062 15
783095006 9162012 40
783095006 9162024 8
783095006 9162028 10
783095006 9162159 5
783095006 9162042 17
783095006 9162007 50
783095006 9162001 8
783176708 9162025 10
783176708 9162099 2
783176708 9162047 26
819400248 9162110 6
784358748 9162026 6
784358748 586900421 8
784358748 9162158 22
586900421 9162026 2
586900421 9162037 2
586900421 9162027 2
586900421 9162025 22
774028738 9162071 29
774028738 9162068 18
774028738 9162093 9
9184003 9162056 7
9184005 9162077 30
9184005 9162122 5
9184005 9162038 1
9162024 9162064 3
9162024 784358748 13
774028738 9162016 48
774028738 9162043 15
52814612 9162007 12
9184018 9162035 6
9184018 9162102 9
9184018 9162158 21
9184018 9162065 1
52814612 9162122 2
52814612 9162034 9
9184018 9162025 17
9184018 9162077 17
52814612 9162068 8
586900421 9162007 13
586900421 9162071 30
9162159 9162012 17
9162126 9162119 5
9162158 9162110 12
9162037 9162119 19
9162071 9162079 4
9162042 9162085 6
9162054 9162004 1
9162001 9162068 5
9162087 9162009 7
9162056 9162119 54
9162158 9162022 10
9162034 9162043 2
9162016 9162026 5
9162158 9162085 16
9162079 819400248 18
9162025 9162043 2
9162071 819400248 0
9162019 9162113 6
9162159 783095006 0
9162102 9162040 6
9162071 9162009 16
9162077 9162062 7
9162009 9162049 0
586888382 783176672 14
9162010 9184018 24
9162042 9162103 21
9162062 9162001 8
9162016 9162038 22
9162099 783176672 17
9162115 9162037 8
9162159 9162019 8
9162043 783176672 11
9162004 9162071 9
9162016 9162099 19
9162113 9162001 6
9162126 586888382 8
9162032 9162040 4
9162009 9162019 5
9162103 9184018 1
9162004 9162102 8
9162099 9162059 7
9162043 52814612 6
9162110 9162068 5
9162062 784358748 10
9162019 9162009 36
9162038 9162113 8
9162058 9162012 10
9162019 774028738 5
9162085 9162012 3
9162107 9162004 11
9162079 9162110 4
9162021 9162084 6
9162107 9162160 0
9162113 9162037 2
9162103 9162087 8
9162079 554321029 9
9162077 783176672 8
9162090 9162079 3
9162077 9184018 13
9162107 586888382 6
9162009 9162115 1
9162016 9162087 18
9162016 9162102 26
9162079 9162068 4
9162012 9162043 7
9162115 9162040 10
9162113 9162040 17
9162160 9162158 10
9162026 9162158 5
9162028 9162119 8
9162010 9162058 1
9162099 9162066 6
9162071 9162160 5
9162058 783176672 11
9162059 9162038 6
9162019 9162158 11
9162010 9162159 44
9162160 9162066 7
9162058 9162040 2
9162004 9162040 12
9162085 9162087 1
9162004 9162059 25
9162084 9162158 2
9162059 783095006 5
9162016 9162055 3
9162009 9162158 45
9162093 9162059 0
9162022 9162049 3
9162059 9162024 5
9162004 9162034 3
9162093 784358748 11
9162035 9162040 4
9162032 9162025 1
9162042 9162113 21
9162113 9184024 0
9162007 9162115 3
9162042 9162119 8
9162066 783095006 5
9162007 9162158 6
9162059 9162122 4
9162081 783176708 23
9162037 9162026 7
9162160 9162016 16
9162016 9162085 4
9162122 9162103 4
9162158 9162016 8
9162016 9162084 12
9162026 9162160 11
9162007 9162009 4
9162110 9162062 5
9162160 774028738 7
9162010 783176708 90
9162043 9162012 2
9162022 9162058 6
586888382 9162159 2
9162158 9162087 5
9162158 9184024 6
9162099 52814612 18
9162062 9162007 4
9162093 9162119 9
9162016 9162107 15
9162102 9162115 1
9162115 9162016 4
9162016 9162077 9
9162079 9162102 4
9162022 9162021 13
9162030 9162068 34
9162055 9162009 9
9162047 774028738 13
9162012 9162049 10
9162022 9162115 9
9162077 9162028 5
9162019 9162007 2
9162079 9162037 12
9162032 9162026 10
9162059 9162007 7
9162028 9162024 6
9162093 9162056 4
9162001 9162102 18
9162158 9162012 43
9162056 9162113 17
9162066 9162110 5
9162004 9162007 2
9162158 9162113 10
9162030 9162059 1
9162119 9162110 10
9162007 9162004 19
9162084 9162115 0
9162090 9162115 2
9162110 9162009 5
9162026 9162085 11
9162021 9162058 9
9162065 783095006 6
9162001 9162087 3
9162102 9162122 8
9162062 9162099 6
9162107 9162119 5
9162021 9162062 6
9162119 819400248 24
9162160 9162007 4
9162077 9162034 13
9162001 783095006 2
9162016 9162062 1
9162068 9162159 0
9162158 9162159 14
9162021 819400248 21
9162056 9162037 1
9162085 9184018 11
9162058 9162115 10
9162001 586900421 2
9162099 9162024 10
9162107 9162113 11
9162159 9162119 8
9162085 586888382 1
9162009 9162077 13
9162071 9184018 9
9162071 52814612 13
9162084 9162107 10
9162024 783176708 8
9162068 9162034 10
9162071 9162042 6
9162084 9162066 5
9162026 9162030 15
9162065 9162012 0
9162085 783176708 18
9162026 9162009 10
9162159 9162103 10
9162010 9162016 27
9162085 9162009 2
9162009 9162159 8
9162025 784358748 0
9162102 9162071 2
9162090 9162040 5
9162159 9162077 4
9162160 9162079 3
9162113 9162071 4
9162026 9162010 6
9162056 52814612 15
9162087 586888382 9
9162026 9162019 7
9162090 52814612 3
9162009 9162021 8
9162025 9162019 1
9162019 9162034 5
9162079 783176672 4
9162021 9162056 6
586888382 9162065 1
9162090 783095006 7
9162102 9162087 8
9162081 9162113 19
9162093 586900421 10
9162025 9162024 5
9162012 9162113 38
9162004 9162012 8
9162110 9162107 4
9162025 9184018 18
9162056 9162085 2
586888382 9162049 0
9162071 784358748 0
9162026 9162047 0
9162016 9162066 1
9162119 9162062 6
9162102 9162056 3
9162032 783176708 9
9162068 9162009 9
9162030 9162077 22
9162028 9162113 4
9162009 586900421 10
9162030 783176708 16
819400248 9184018 12
9162115 9184018 6
9162119 9162071 50
9162158 9162064 14
