$OR;D2 
* From-Time  To-Time 
07.00 8.00 
* Factor 
1.00
9162090 783095006 20
9162102 9162087 22
9162081 9162113 1
9162093 586900421 23
9162025 9162024 20
9162012 9162113 48
9162004 9162012 39
9162110 9162107 4
9162025 9184018 39
9162056 9162085 2
586888382 9162049 12
9162071 784358748 2
9162026 9162047 1
9162016 9162066 35
9162119 9162062 19
9162102 9162056 4
9162032 783176708 21
9162068 9162009 0
9162030 9162077 76
9162028 9162113 8
9162009 586900421 11
9162030 783176708 34
819400248 9184018 10
9162115 9184018 6
9162119 9162071 56
9162158 9162064 45
9162030 9162028 11
783176672 554321029 0
774028738 784358748 29
774028738 9162009 26
52814612 9162065 17
774028738 9162040 0
52814612 9162087 17
783176672 9162028 76
783176672 9162065 28
586888382 9162122 0
586888382 9162068 101
783176672 9162077 130
586888382 9162087 18
586888382 9162115 65
586888382 9162047 18
783176672 9162090 15
783176672 9162034 28
586888382 9162043 2
783176672 9162131 24
783176672 9162115 129
819400248 9162019 217
819400248 9162037 80
819400248 9162079 212
783176672 9162068 10
783176672 9162024 78
783095006 9162043 44
554321029 9162027 37
554321029 9162028 96
554321029 9162126 37
554321029 9162025 9
774028738 9162103 20
783095006 9162049 9
783095006 9162087 1
554321029 9162062 48
554321029 9162042 7
783095006 9162025 44
783095006 9162099 14
783095006 9162062 53
783176708 9162024 62
783095006 9162016 9
783176708 9162126 5
783176708 9162056 70
783176708 9162131 16
784358748 9162001 42
784358748 52814612 9
784358748 9162160 17
784358748 9162056 25
784358748 819400248 22
586900421 9162001 18
784358748 9162058 7
783176672 9162037 94
586900421 9162122 27
774028738 9162058 7
774028738 9162131 19
774028738 9162066 207
774028738 9162102 27
9184003 9162019 0
9184003 9162159 7
9184003 819400248 2
9184005 9162032 53
9184005 9184024 121
9184005 9162071 15
9162024 9162077 22
